State,precipitation_cm
ALABAMA,148
ALASKA,57.2
ARIZONA,34.5
ARKANSAS,128.4
CALIFORNIA,56.3
COLORADO,40.5
CONNECTICUT,127.9
DELAWARE,116
FLORIDA,138.5
GEORGIA,128.7
HAWAII,161.8
IDAHO,48.1
ILLINOIS,99.6
INDIANA,106
IOWA,86.4
KANSAS,73.3
KENTUCKY,124.2
LOUISIANA,152.8
MAINE,107.2
MARYLAND,113.1
MASSACHUSETTS,121.1
MICHIGAN,83.3
MINNESOTA,69.3
MISSISSIPPI,149.9
MISSOURI,107.1
MONTANA,39
NEBRASKA,59.9
NEVADA,24.1
NEW HAMPSHIRE,110.3
NEW JERSEY,119.6
NEW MEXICO,37
NEW YORK,106.2
NORTH CAROLINA,127.9
NORTH DAKOTA,45.2
OHIO,99.3
OKLAHOMA,92.7
OREGON,69.5
PENNSYLVANIA,108.9
RHODE ISLAND,121.8
SOUTH CAROLINA,126.4
SOUTH DAKOTA,51.1
TENNESSEE,137.6
TEXAS,73.4
UTAH,31
VERMONT,108.5
VIRGINIA,112.5
WASHINGTON,97.6
WEST VIRGINIA,114.7
WISCONSIN,82.9
WYOMING,32.8
